,name,address,Accommodation,website,lat,log
9,Festival Hall,"300 Dudley Street, West Melbourne, 3003",Bar,http://www.festivalhall.com.au/,-37.81143777,144.9461726
10,Vodka Temple,"Ground, 160-162 Lygon Street, Carlton, 3053",Bar,https://www.vodkatemple.com.au/,-37.80345202,144.9666383
11,Union Electric,"13 Heffernan Lane, Melbourne, 3000",Bar,http://unionelectric.com.au/,-37.81177326,144.9666889
12,Three Crowns Hotel,"361-365 Victoria Street, West Melbourne, 3003",Bar,https://www.threecrownshotel.com.au/,-37.80528791,144.9494898
13,Troika Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000",Bar,http://troikabar.com/,-37.80925121,144.9686269
14,Live Performance Australia,"Level 1, 15 Queen Street, Melbourne, 3000",Bar,http://www.liveperformance.com.au/,-37.81840835,144.962078
15,Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",Bar,http://qvm.com.au/,-37.80618853,144.9575349
16,Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",Bar,http://www.platformone.com.au/,-37.81914828,144.9623231
17,Mesa Verde,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000",Bar,http://www.mesaverde.net.au/,-37.81204087,144.9650525
18,Seamstress Restaurant and Bar,"113 Lonsdale Street, Melbourne, 3000",Bar,http://www.seamstress.com.au/prod/,-37.81046225,144.9689575
19,European Bier Café,"120 Exhibition Street, Melbourne, 3000",Bar,http://europeanbiercafe.com.au/,-37.81285332,144.9711042
20,Arbory Bar and Eatery,"2 Flinders Walk, Melbourne, 3000",Bar,http://arbory.com.au/,-37.81890972,144.9667926
21,Touche Hombre,"237 Lonsdale Street, Melbourne, 3000",Bar,https://www.touchehombre.com.au/,-37.81150165,144.96544
22,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Bar,http://pariscat.com.au/,-37.81355853,144.9607541
23,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Bar,http://www.cliquebar.com.au/,-37.81961099,144.957393
