restaurant_style,name,address,price,rating,tel,lat,log,website,image_url
west,Pastuso,"19 AC/DC La, Melbourne VIC 3000",$$$,4.5,61396624556,-37.81566674,144.9710466,http://pastuso.com.au/,https://images.squarespace-cdn.com/content/v1/63108d5f1e32ff210f2b35b8/22afbec6-c63b-4f1a-80ee-cbdccfdadf52/Pastuso+Build-03.png?format=1000w
west,Cicciolina,"130 Acland St, St Kilda VIC 3182, Australia",$$$,4.5,61395253333,-37.86620479,144.9795403,http://cicciolina.com.au/,https://cicciolina.com.au/lib/photos/interior01.jpg
west,The European,"161 Spring St, Melbourne VIC 3000",$$$,4.4,61396540811,-37.81072856,144.9726555,http://www.theeuropean.com.au/,http://www.theeuropean.com.au/images/Photos/01.jpg
west,Cecconi's Flinders Lane Restaurant & Cellar Bar,"61 Flinders Ln, Melbourne VIC 3000",$$$,4.5,61386630500,-37.81457847,144.9725105,https://www.cecconis.com/,https://images.squarespace-cdn.com/content/v1/62343fba8af48a1c8f80d5a8/1656380224847-VW5HAGJIBAV3BQZ14PO0/Cecconi%27s+interiors+19_368.jpg?format=500w
Asia,Bok Choy Chinese Cuisine,"300 New St, Brighton VIC 3186, Australia",$$$,4.2,61395920253,-37.90384809,144.9930492,http://www.bokchoybrighton.com/,"https://static.wixstatic.com/media/0034ec_cf9130daa70e48eaad99878ee3a1574c~mv2.jpeg/v1/fill/w_460,h_400,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/854d52ae-f075-4614-858d-2ad3fbbe6f4f%20(1).jpeg"
Asia,Lucy Liu Kitchen and Bar,"23 Oliver Ln, Melbourne VIC 3000",$$$,4.5,61396395777,-37.81577241,144.9700289,http://lucylius.com.au/,https://www.lucylius.com.au/wp-content//uploads/2021/08/LL-Gallery-1.jpg
Asia,Mr. Miyagi,"99 Chapel St, Windsor VIC 3181, Australia",$$$,4.4,61395295999,-37.8524183,144.9924868,http://www.mrmiyagi.com.au/,https://img2.storyblok.com/2000x0/filters:quality(80)/f/111639/800x1200/397f12099a/salmon-nori-taco
Asia,RuYi Modern Chinese,"Ground Floor, 16 Liverpool St, Melbourne VIC 3000",$$$,4.4,61390907778,-37.81059276,144.971595,https://www.ruyi.com.au/,https://images.squarespace-cdn.com/content/v1/61fb48c1a65bea3607174bba/1643858126593-PUKAAK5BUFLVB3C8R2R8/DSC_9447+%281%29+copy.jpg?format=1500w
Asia,Izakaya Den 2029,"Basement/118 Russell St, Melbourne VIC 3000",$$$,4.4,61476208573,-37.8108979,144.9715092,http://www.izakayaden.com.au/,https://images.squarespace-cdn.com/content/v1/5d3eedb381f4380001ef0cf7/1658320333326-IJWO19RFUSEFZSOQAZHQ/_DSC6960.jpg?format=750w
Vegeterian,Transformer Fitzroy,"99 Rose St, Fitzroy VIC 3065, Australia",$$$,4.3,61394192022,-37.795429,144.979257,http://www.transformerfitzroy.com/,https://scontent-iad3-1.cdninstagram.com/v/t51.29350-15/305553617_132880309256754_1273976596227691934_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OK22l1yM_0cAX8C9Tw7&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=ABbrh9MEAAAA&oh=00_AT-OeRnx98YVFqquVMZkWR0Z2TvfKKj5UkW5Cn0KmfraEQ&oe=6345CF8B
